20220318,3189 0.06,2177 0.76,364 0.52,104 0.23,89 0.29,102 0.47,43 0.27,28 0.23,82 1.03,35 0.87,21 1.06,5 0.43,7 0.83,2 0.30,40 92.57
20211001,3208 0.06,1818 0.60,240 0.33,85 0.18,69 0.22,60 0.27,24 0.15,25 0.20,60 0.75,22 0.53,17 0.86,6 0.54,10 1.18,5 0.79,35 93.26
20210924,3217 0.06,1654 0.55,220 0.30,83 0.18,55 0.17,57 0.26,28 0.17,23 0.18,59 0.71,26 0.63,16 0.82,8 0.71,8 0.98,5 0.76,35 93.43
20210917,3220 0.06,1716 0.56,223 0.31,82 0.17,54 0.17,60 0.28,23 0.14,23 0.18,62 0.75,25 0.63,20 1.02,4 0.36,8 1.00,6 0.92,35 93.37
20210911,3220 0.06,1660 0.54,209 0.28,84 0.18,53 0.17,54 0.24,22 0.13,25 0.20,59 0.70,25 0.64,22 1.10,3 0.26,7 0.85,2 0.30,39 94.26
20210903,3220 0.06,1689 0.55,216 0.29,87 0.18,52 0.16,56 0.25,25 0.15,22 0.17,56 0.65,27 0.67,19 0.97,5 0.43,7 0.87,1 0.16,39 94.34
20210827,3228 0.06,1713 0.56,219 0.30,85 0.18,53 0.17,55 0.25,25 0.15,23 0.18,53 0.62,27 0.67,19 0.97,6 0.52,5 0.61,1 0.16,40 94.53
20210820,3232 0.06,1727 0.56,224 0.30,87 0.18,51 0.16,56 0.25,27 0.16,21 0.17,53 0.63,27 0.69,20 1.00,6 0.50,5 0.61,1 0.16,40 94.47
20210813,3235 0.06,1728 0.56,223 0.30,87 0.18,51 0.16,60 0.27,24 0.15,23 0.18,55 0.66,26 0.67,20 1.00,6 0.51,5 0.61,1 0.16,40 94.43
20210806,3243 0.07,1743 0.57,229 0.31,88 0.19,58 0.19,57 0.26,24 0.15,23 0.18,55 0.66,24 0.63,23 1.15,5 0.43,5 0.62,1 0.16,40 94.39
20210730,3246 0.07,1765 0.58,234 0.32,85 0.18,57 0.18,55 0.25,25 0.15,21 0.17,52 0.60,26 0.67,21 1.06,6 0.52,5 0.62,1 0.17,40 94.41
20210723,3259 0.07,1820 0.59,242 0.33,92 0.20,49 0.15,60 0.27,25 0.15,20 0.16,51 0.62,27 0.69,20 0.98,7 0.59,5 0.62,1 0.17,39 94.33
20210716,3265 0.07,1937 0.64,253 0.35,91 0.19,50 0.16,58 0.26,25 0.16,18 0.14,50 0.59,29 0.73,21 1.01,7 0.59,5 0.62,2 0.34,39 94.08
20210709,3260 0.07,1880 0.62,257 0.35,93 0.19,56 0.18,57 0.25,24 0.15,20 0.16,50 0.59,29 0.72,22 1.07,6 0.50,6 0.74,1 0.17,39 94.16
20210702,3268 0.07,1893 0.63,260 0.36,93 0.20,54 0.17,58 0.26,27 0.17,25 0.20,50 0.59,30 0.76,21 0.99,6 0.49,6 0.74,1 0.17,39 94.13
20210625,3272 0.07,1877 0.62,251 0.34,90 0.19,55 0.17,59 0.26,25 0.15,24 0.19,49 0.57,29 0.73,22 1.05,6 0.49,6 0.74,0 0.00,40 94.34
20210618,3279 0.07,1873 0.62,257 0.35,87 0.18,52 0.16,58 0.26,23 0.14,23 0.18,51 0.60,29 0.72,22 1.11,6 0.49,6 0.74,1 0.17,39 94.13
20210611,3286 0.07,1885 0.63,261 0.36,89 0.19,50 0.16,57 0.25,23 0.14,23 0.18,50 0.59,29 0.72,22 1.11,5 0.42,6 0.74,1 0.16,39 94.21
20210604,3292 0.07,1884 0.62,263 0.37,89 0.19,51 0.16,58 0.26,22 0.13,24 0.19,50 0.60,28 0.70,22 1.12,5 0.41,6 0.74,1 0.15,39 94.20
20210528,3292 0.07,1857 0.61,264 0.37,88 0.18,54 0.17,57 0.25,24 0.15,22 0.18,49 0.58,28 0.70,23 1.16,5 0.41,6 0.74,1 0.15,39 94.20
20210521,3297 0.07,1879 0.62,265 0.37,87 0.18,56 0.18,56 0.25,20 0.12,26 0.21,49 0.58,29 0.74,22 1.10,5 0.41,6 0.74,1 0.15,39 94.21
20210514,3301 0.07,1924 0.64,268 0.37,91 0.19,53 0.17,57 0.25,23 0.14,24 0.19,50 0.60,28 0.72,21 1.03,8 0.68,6 0.74,3 0.50,37 93.63
20210507,3298 0.07,1920 0.63,269 0.38,92 0.19,52 0.16,55 0.25,23 0.14,22 0.18,51 0.61,29 0.74,21 1.08,7 0.63,5 0.63,3 0.50,37 93.75
20210429,3311 0.07,1897 0.63,272 0.38,92 0.19,61 0.19,56 0.25,20 0.12,20 0.16,54 0.64,27 0.67,22 1.12,6 0.53,6 0.75,3 0.48,37 93.75
20210423,3311 0.07,1917 0.63,285 0.40,87 0.18,62 0.20,57 0.25,18 0.11,20 0.16,48 0.56,27 0.68,20 0.99,7 0.61,5 0.63,4 0.63,37 93.84
20210416,3313 0.07,1492 0.51,217 0.29,82 0.17,48 0.15,57 0.25,18 0.11,15 0.11,50 0.58,27 0.70,22 1.08,5 0.43,6 0.74,3 0.48,38 94.26
20210409,3327 0.07,1450 0.49,223 0.30,82 0.17,46 0.14,57 0.25,20 0.12,14 0.11,48 0.56,25 0.66,23 1.14,5 0.43,6 0.74,3 0.48,38 94.27
20210401,3328 0.07,1445 0.49,221 0.30,83 0.17,44 0.14,59 0.26,18 0.11,13 0.10,48 0.56,26 0.68,23 1.14,5 0.43,6 0.74,3 0.48,38 94.27
20210326,3321 0.07,1440 0.49,220 0.30,85 0.18,46 0.14,58 0.26,18 0.11,13 0.10,48 0.56,26 0.68,23 1.13,5 0.42,6 0.74,3 0.48,38 94.28
